word, meaning, partOfSpeech
straiten, bring into difficulties or distress especially financial hardship, verb
capsize, overturn accidentally, verb
disturbing, move deeply, verb
disburden, take the burden off; remove the burden from, verb
encapsulate, enclose in a capsule or other small container, verb
resift, sift anew, verb
detribalize, cause members of a tribe to lose their cultural identity, verb
luxate, move out of position, verb
submerged, sink below the surface; go under or as if under water, verb
cocainize, anesthetize with cocaine, verb
briming, be completely full, verb
electrify, excite suddenly and intensely, verb
ankylose, produce ankylosis by surgery, verb
traversing, travel across or pass over, verb
untangled, release from entanglement of difficulty, verb
retain, hold back within, verb
equivocate, be deliberately ambiguous or unclear in order to mislead or withhold information, verb
concurring, be in accord; be in agreement, verb
entangling, entrap, verb
dote, be foolish or senile due to old age, verb
collared, take into custody, verb
twisted, to move in a twisting or contorted motion (especially when struggling), verb
recapitulate, summarize briefly, verb
withered, wither as with a loss of moisture, verb
cannulate, introduce a cannula or tube into, verb
skittled, play skittles, verb
bethink, cause oneself to consider something, verb
conducing, be conducive to, verb
disunify, break up or separate, verb
expressed, give expression to, verb
covet, wish or long or crave for (something especially the property of another person), verb
vitiate, corrupt morally or by intemperance or sensuality, verb
untune, cause to lose one's composure, verb
defervesce, experience an abatement of a fever, verb
footle, be about, verb
invade, march aggressively into another's territory by military force for the purposes of conquest and occupation, verb
alkalize, turn basic and less acidic, verb
dilated, become wider, verb
knuckled, press or rub with the knuckles, verb
pinioned, bind the arms of, verb
bottomed, provide with a bottom or a seat, verb
compel, force somebody to do something, verb
attend, be present at (meetings and church services and university) etc., verb
exhilarate, fill with sublime emotion, verb
decussate, cross or intersect so as to form a cross, verb
diphthongize, change from a simple vowel to a diphthong, verb
tranquillize, make calm or still, verb
certified, provide evidence for; stand as proof of; show by one's behavior or attitude or external attributes, verb
rejuvenate, cause (a stream or river) to erode as by an uplift of the land, verb
exculpate, pronounce not guilty of criminal charges, verb
veined, make a veinlike pattern, verb
fixed, restore by replacing a part or putting together what is torn or broken, verb
depressing, lower someone's spirits; make downhearted, verb
repine, express discontent, verb
tighten, make tight or tighter, verb
romancing, make amorous advances towards, verb
assibilate, insert a sibilant sound before or after (another sound), verb
interfering, come between so as to be hindrance or obstacle, verb
eviscerate, surgically remove a part of a structure or an organ, verb
disabuse, free somebody (from an erroneous belief), verb
nauseate, upset and make nauseated, verb
euphemize, refer to something with a euphemism, verb
hoisting, raise or haul up with or as if with mechanical help, verb
scheming, form intrigues (for) in an underhand manner, verb
fertilize, provide with fertilizers or add nutrients to, verb
tiding, rise or move forward, verb
pupate, develop into a pupa, verb
unreel, unwind from or as if from a reel, verb
encumber, hold back, verb
enlarge, make larger, verb
connected, connect or fasten or put together two or more pieces, verb
dissipate, to cause to separate and go in different directions, verb
shrouding, cover as if with a shroud, verb
denationalize, put under private control or ownership, verb
rollick, play boisterously, verb
stipulate, specify as a condition or requirement in a contract or agreement; make an express demand or provision in an agreement, verb
depraved, corrupt morally or by intemperance or sensuality, verb
entrain, board a train, verb
hobnob, rub elbows with, verb
voiced, give voice to, verb
unplugged, pull the plug of (electrical appliances) and render inoperable, verb
consubstantiate, become united in substance, verb
unfastened, cause to become undone, verb
mercerize, treat to strengthen and improve the luster, verb
enrolled, register formally as a participant or member, verb
tuned, adjust for (better) functioning, verb
burgeon, grow and flourish, verb
subtilize, mark fine distinctions and subtleties as among words, verb
borne, have, verb
unlearn, try to forget; put out of one's memory or knowledge, verb
consoling, give moral or emotional strength to, verb
fractionate, separate into constituents or fractions containing concentrated constituents, verb
preheat, heat beforehand, verb
plunging, thrust or throw into, verb
granulate, form into grains, verb
insolate, expose to the rays of the sun or affect by exposure to the sun, verb
caseate, turn into cheese, verb
debilitate, make weak, verb
panicked, be overcome by a sudden fear, verb
biting, to grip or cut off or tear with or as if with the teeth or jaws, verb
ghostess, move like a ghost, verb
dwelled, think moodily or anxiously about something, verb
deaerate, remove air or gas from, verb
resurge, rise again, verb
describe, give a description of, verb
reallocate, allocate or distribute or apportion anew, verb
dingdong, go `ding dong' like a bell, verb
astonishing, affect with wonder, verb
fumbling, feel about uncertainly or blindly, verb
adhere, be compatible or in accordance with, verb
fleeced, rip off; ask an unreasonable price, verb
whispered, speak softly; in a low voice, verb
off, kill intentionally and with premeditation, verb
instantiate, represent by an instance, verb
mummify, preserve while making lifeless, verb
glycerolize, place in glycerol, verb
teaming, form a team, verb
replace, substitute a person or thing for (another that is broken or inefficient or lost or no longer working or yielding what is expected), verb
wheedle, influence or urge by gentle urging caressing or flattering, verb
greet, express greetings upon meeting someone, verb
constrained, hold back, verb
forsake, leave someone who needs or counts on you; leave in the lurch, verb
devoted, give entirely to a specific person activity or cause, verb
cadge, ask for and get free; be a parasite, verb
seeming, give a certain impression or have a certain outward aspect, verb
focalize, concentrate on a particular place or spot, verb
ranged, change or be different within limits, verb
hearten, give encouragement to, verb
skewed, turn or place at an angle, verb
consecrated, appoint to a clerical posts, verb
unlearned, try to forget; put out of one's memory or knowledge, verb
cockled, stir up (water) so as to form ripples, verb
disorient, cause to be lost or disoriented, verb
doted, be foolish or senile due to old age, verb
bask, derive or receive pleasure from; get enjoyment from; take pleasure in, verb
depilate, remove body hair, verb
unchurch, exclude from a church or a religious community, verb
overspend, spend more than available of (a budget), verb
slim, take off weight, verb
mechanize, equip with armed and armored motor vehicles, verb
surmount, get on top of; deal with successfully, verb
fiddling, avoid (one's assigned duties), verb
gadding, wander aimlessly in search of pleasure, verb
scarfed, masturbate while strangling oneself, verb
solmizate, sing by the syllables of solmization, verb
delouse, free of lice, verb
excluding, prevent from being included or considered or accepted, verb
tink, make or emit a high sound, verb
reword, express the same message in different words, verb
hatted, put on or wear a hat, verb
screaking, make a high-pitched screeching noise, verb
destroy, do away with cause the destruction or undoing of, verb
garbling, make false by mutilation or addition; as of a message or story, verb
abashed, cause to be embarrassed; cause to feel self-conscious, verb
settled, settle into a position usually on a surface or ground, verb
archaize, give an archaic appearance of character to, verb
inured, cause to accept or become hardened to; habituate, verb
bought, obtain by purchase; acquire by means of a financial transaction, verb
ticketing, issue a ticket or a fine to as a penalty, verb
rejoin, join again, verb
respond, show a response or a reaction to something, verb
straggling, wander from a direct or straight course, verb
enmesh, entangle or catch in (or as if in) a mesh, verb
detrain, leave a train, verb
rocking, move back and forth or sideways, verb
resect, surgically remove a part of a structure or an organ, verb
unrolled, reverse the winding or twisting of, verb
colly, make soiled filthy or dirty, verb
befitting, accord or comport with, verb
sodding, cover with sod, verb
expanding, extend in one or more directions, verb
silvered, coat with a layer of silver or a silver amalgam, verb
unbuckle, undo the buckle of, verb
ridged, extend in ridges, verb
shied, start suddenly as from fright, verb
triangulate, divide into triangles or give a triangular form to, verb
comply, act in accordance with someone's rules commands or wishes, verb
bestir, become active, verb
dethrone, remove a monarch from the throne, verb
predisposed, make susceptible, verb
drooping, droop sink or settle from or as if from pressure or loss of tautness, verb
strived, attempt by employing effort, verb
avianize, to modify microorganisms by repeated culture in the developing chick embryo, verb
immobilize, hold as reserve or withdraw from circulation; of capital, verb
disappear, get lost as without warning or explanation, verb
birle, cause a floating log to rotate by treading, verb
bake, cook and make edible by putting in a hot oven, verb
abnegate, deny oneself (something); restrain especially from indulging in some pleasure, verb
unmuzzling, remove the muzzle from (a dog), verb
fornicate, have sex without being married, verb
ingrained, thoroughly work in, verb
tumbled, fall down as if collapsing, verb
went, change location; move travel or proceed also metaphorically, verb
idealize, consider or render as ideal, verb
foredoom, doom beforehand, verb
lording, make a lord of someone, verb
transcribe, write out from speech notes etc., verb
vitalizing, give life to, verb
broken, terminate, verb
omit, prevent from being included or considered or accepted, verb
outlined, describe roughly or briefly or give the main points or summary of, verb
restrengthen, make strong again, verb
resettle, settle in a new place, verb
incase, enclose in or as if in a case, verb
flatten, make flat or flatter, verb
turned, change orientation or direction also in the abstract sense, verb
pare, decrease gradually or bit by bit, verb
darting, move along rapidly and lightly; skim or dart, verb
understock, stock with less than the usual or desirable number or quantity, verb
capsulate, enclose in a capsule, verb
spiking, stand in the way of, verb
copsing, take by theft, verb
satirize, ridicule with satire, verb
enhance, increase, verb
transmuting, change in outward structure or looks, verb
wheeled, change directions as if revolving on a pivot, verb
compelling, force somebody to do something, verb
auscultate, examine by auscultation, verb
retreating, pull back or move away or backward, verb
clarify, make clear and (more) comprehensible, verb
disarmed, remove offensive capability from, verb
christen, administer baptism to, verb
unsaddle, remove the saddle from, verb
skewings, turn or place at an angle, verb
excusing, accept an excuse for, verb
encouraging, contribute to the progress or growth of, verb
truncated, replace a corner by a plane, verb
compute, make a mathematical calculation or computation, verb
pearling, gather pearls from oysters in the ocean, verb
usurping, seize and take control without authority and possibly with force; take as one's right or possession, verb
doff, remove, verb
witched, cast a spell over someone or something; put a hex on someone or something, verb
impacted, press or wedge together; pack together, verb
relax, become less tense rest or take one's ease, verb
tied, fasten or secure with a rope string or cord, verb
galled, become or make sore by or as if by rubbing, verb
unsnarl, extricate from entanglement, verb
redo, make new, verb
fornicated, have sex without being married, verb
bunted, hit a ball in such a way so as to make it go a short distance, verb
supinate, turn (the hand or forearm) so that the back is downward or backward or turn out (the leg), verb
shingled, cover with shingles, verb
recline, move the upper body backwards and down, verb
frizzing, curl tightly, verb
prolong, lengthen in time; cause to be or last longer, verb
swollen, increase in size magnitude number or intensity, verb
dazed, to cause someone to lose clear vision especially from intense light, verb
sheer, turn sharply; change direction abruptly, verb
advancing, move forward also in the metaphorical sense, verb
dehumanize, deprive of human qualities, verb
costuming, dress in a costume, verb
bestowing, present, verb
chinned, raise oneself while hanging from one's hands until one's chin is level with the support bar, verb
staving, furnish with staves, verb
bronzed, give the color and appearance of bronze to something, verb
nonplus, be a mystery or bewildering to, verb
urbanize, make more industrial or city-like, verb
breathed, draw air into and expel out of the lungs, verb
poach, hunt illegally, verb
unsay, take back what one has said, verb
championess, protect or fight for as a champion, verb
oversleep, sleep longer than intended, verb
obviate, do away with, verb
ascend, travel up, verb
recede, pull back or move away or backward, verb
refracting, subject to refraction, verb
disaccord, be different from one another, verb
execute, kill as a means of socially sanctioned punishment, verb
conqueress, to put down by force or authority, verb
constrict, squeeze or press together, verb
chronologize, establish the order in time of something, verb
knightess, raise (someone) to knighthood, verb
exemplify, be characteristic of, verb
warding, watch over or shield from danger or harm; protect, verb
blest, give a benediction to, verb
tamping, press down tightly, verb
standardize, cause to conform to standard or norm, verb
prevaricate, be deliberately ambiguous or unclear in order to mislead or withhold information, verb
peddle, sell or offer for sale from place to place, verb
flew, travel through the air; be airborne, verb
circumvolve, cause to turn on an axis or center, verb
gleaning, gather as of natural products, verb
quivered, shake with fast tremulous movements, verb
reconquer, conquer anew, verb
employed, put into service; make work or employ for a particular purpose or for its inherent or natural purpose, verb
corduroyed, build (a road) from logs laid side by side, verb
wrought, exert oneself by doing mental or physical work for a purpose or out of necessity, verb
begun, take the first step or steps in carrying out an action, verb
enraged, put into a rage; make violently angry, verb
perseverate, psychology: repeat a response after the cessation of the original stimulus, verb
unsettled, disturb the composure of, verb
rang, sound loudly and sonorously, verb
concerted, contrive (a plan) by mutual agreement, verb
dissimilate, become dissimilar by changing the sound qualities, verb
coifed, cover with a coif, verb
unclothe, strip, verb
constitutionalize, provide with a constitution as of a country, verb
dabble, dip a foot or hand briefly into a liquid, verb
swelter, be uncomfortably hot, verb
diffuse, move outward, verb
decrepitate, undergo decrepitation and crackle, verb
whap, hit hard, verb
marry, take in marriage, verb
coexist, coexist peacefully as of nations, verb
rile, cause annoyance in; disturb especially by minor irritations, verb
braided, make by braiding or interlacing, verb
redirect, channel into a new direction, verb
dim, switch (a car's headlights) from a higher to a lower beam, verb
repossess, claim back, verb
deflect, prevent the occurrence of; prevent from happening, verb
resurrect, cause to become alive again, verb
caught, discover or come upon accidentally suddenly or unexpectedly; catch somebody doing something or in a certain state, verb
toiled, work hard, verb
sievings, examine in order to test suitability, verb
further, promote the growth of, verb
airfreight, transport (cargo) by air, verb
atomize, spray very finely, verb
retrain, teach new skills, verb
fidgeting, move restlessly, verb
behooves, be appropriate or necessary, verb
cloven, separate or cut with a tool such as a sharp instrument, verb
dissemble, make believe with the intent to deceive, verb
stereotyped, treat or classify according to a mental stereotype, verb
satisfying, meet the requirements or expectations of, verb
busy, keep busy with, verb
condone, excuse overlook or make allowances for; be lenient with, verb
unionize, recruit for a union or organize into a union, verb
loaded, fill or place a load on, verb
submerse, sink below the surface; go under or as if under water, verb
conflicting, be in conflict, verb
declutch, disengage the clutch of a car, verb
hyperextend, extend a joint beyond its normal range, verb
infest, invade in great numbers, verb
swaying, move back and forth or sideways, verb
mouthing, express in speech, verb
saltate, move by saltation, verb
outshout, shout louder than, verb
ventilating, expose to cool or cold air so as to cool or freshen, verb
measured, determine the measurements of something or somebody take measurements of, verb
catting, beat with a cat-o'-nine-tails, verb
confiscate, take temporary possession of as a security by legal authority, verb
demob, retire from military service, verb
outsing, to state openly and publicly one's homosexuality, verb
condensed, undergo condensation; change from a gaseous to a liquid state and fall in drops, verb
assimilate, take up mentally, verb
tackled, accept as a challenge, verb
jawed, talk socially without exchanging too much information, verb
explaining, make plain and comprehensible, verb
unknot, become or cause to become undone by separating the fibers or threads of, verb
breasting, meet at breast level, verb
brabble, argue over petty things, verb
furless, form into a cylinder by rolling, verb
locomote, change location; move travel or proceed also metaphorically, verb
reside, make one's home in a particular place or community, verb
stratified, divide society into social classes or castes, verb
vaulted, jump across or leap over (an obstacle), verb
outflank, go around the flank of (an opposing army), verb
promulgate, state or announce, verb
ragging, treat cruelly, verb
sheltered, provide shelter for, verb
underdressed, dress without sufficient warmth, verb
valuate, evaluate or estimate the nature quality ability extent or significance of, verb
disagreed, be of different opinions, verb
nucleate, form into a nucleus, verb
disliking, have or feel a dislike or distaste for, verb
misleading, lead someone in the wrong direction or give someone wrong directions, verb
remilitarize, militarize anew, verb
sync, make synchronous and adjust in time or manner, verb
bedim, make darker and difficult to perceive by sight, verb
refashion, make new, verb
bombed, throw bombs at or attack with bombs, verb
sneering, express through a scornful smile, verb
emboss, raise in a relief, verb
incorporated, make into a whole or make part of a whole, verb
notified, inform (somebody) of something, verb
recast, cast again in a different role, verb
deformed, make formless, verb
spined, revolve quickly and repeatedly around one's own axis, verb
brokeress, act as a broker, verb
fairing, join so that the external surfaces blend smoothly, verb
cantoned, provide housing for (military personnel), verb
dishevel, disarrange or rumple; dishevel, verb
testify, give testimony in a court of law, verb
quarreled, have a disagreement over something, verb
undergo, pass through, verb
covenanting, enter into a covenant, verb
codding, fool or hoax, verb
inquire, inquire about, verb
forbore, refrain from doing, verb
depend, be contingent upon (something that is elided), verb
reprimanding, rebuke formally, verb
collogue, confer secretly, verb
interrupted, make a break in, verb
gyrate, to wind or move in a spiral course, verb
anesthetize, administer an anesthetic drug to, verb
vaunting, show off, verb
sporting, wear or display in an ostentatious or proud manner, verb
finalize, make final; put the last touches on; put into final form, verb
propagate, transmit from one generation to the next, verb
dehisce, burst or split open, verb
egging, throw eggs at, verb
laboress, strive and make an effort to reach a goal, verb
tasted, have flavor; taste of something, verb
polarize, cause to vibrate in a definite pattern, verb
transferred, transfer somebody to a different position or location of work, verb
perceiving, to become aware of through the senses, verb
misgauge, gauge something incorrectly or improperly, verb
enrobe, provide with a coating, verb
radicalize, make more radical in social or political outlook, verb
amazed, affect with wonder, verb
unmask, reveal the true nature of, verb
overspread, spread across or over, verb
apologize, acknowledge faults or shortcomings or failing, verb
sexed, stimulate sexually, verb
unwrapped, remove the outer cover or wrapping of, verb
flung, throw with force or recklessness, verb
peed, eliminate urine, verb
undermine, destroy property or hinder normal operations, verb
hearken, listen; used mostly in the imperative, verb
snatched, to grasp hastily or eagerly, verb
ebonize, stain black to make it look like ebony, verb
unscrewing, loosen something by unscrewing it, verb
eaten, take in solid food, verb
displeased, give displeasure to, verb
wigwag, send a signal by waving a flag or a light according to a certain code, verb
becoming, enter or assume a certain state or condition, verb
engraft, cause to grow together parts from different plants, verb
unwind, reverse the winding or twisting of, verb
clad, provide with clothes or put clothes on, verb
etymologize, give the etymology or derivation or suggest an etymology (for a word), verb
thoriate, impregnate with thorium oxide to increase thermionic emission, verb
tricking, deceive somebody, verb
dimmed, switch (a car's headlights) from a higher to a lower beam, verb
preferred, like better; value more highly, verb
reappraise, appraise anew, verb
dizen, dress up garishly and tastelessly, verb
stun, make senseless or dizzy by or as if by a blow, verb
obtain, come into possession of, verb
depreciate, belittle, verb
regale, provide with choice or abundant food or drink, verb
needled, goad or provoke as by constant criticism, verb
manumit, free from slavery or servitude, verb
environ, extend on all sides of simultaneously; encircle, verb
careering, move headlong at high speed, verb
decolor, remove color from, verb
uglify, make ugly, verb
categorize, place into or assign to a category, verb
tribulate, oppress or trouble greatly, verb
abide, dwell, verb
outrank, take precedence or surpass others in rank, verb
anguished, suffer great pains or distress, verb
burnt, destroy by fire, verb
secluded, keep away from others, verb
steepen, become steeper, verb
adjudicate, put on trial or hear a case and sit as the judge at the trial of, verb
absolve, grant remission of a sin to, verb
recover, get or find back; recover the use of, verb
hooping, bind or fasten with a hoop, verb
trained, create by training and teaching, verb
celebrate, behave as expected during of holidays or rites, verb
hesitating, pause or hold back in uncertainty or unwillingness, verb
honeycombed, carve a honeycomb pattern into, verb
shaven, remove body hair with a razor, verb
numbing, make numb or insensitive, verb
synchronize, make synchronous and adjust in time or manner, verb
unlade, take the load off (a container or vehicle), verb
forming, create (as an entity), verb
sopping, give a conciliatory gift or bribe to, verb
sublime, vaporize and then condense right back again, verb
refloat, set afloat again, verb
delimitate, determine the essential quality of, verb
exhume, dig up for reburial or for medical investigation; of dead bodies, verb
conjugated, unite chemically so that the product is easily broken down into the original compounds, verb
garble, make false by mutilation or addition; as of a message or story, verb
embrown, cause to darken, verb
interested, excite the curiosity of; engage the interest of, verb
civilize, teach or refine to be discriminative in taste or judgment, verb
scrapping, dispose of (something useless or old), verb
fecundate, make fertile or productive, verb
related, make a logical or causal connection, verb
ablate, wear away through erosion or vaporization, verb
scuttling, to move about or proceed hurriedly, verb
rayed, emit as rays, verb
syncopated, omit a sound or letter in a word, verb
defat, remove the fat from, verb
lacquering, coat with lacquer, verb
grovelings, show submission or fear, verb
taxed, levy a tax on, verb
modeless, plan or create according to a model or models, verb
exciting, arouse or elicit a feeling, verb
underwent, pass through, verb
offsaddle, remove the saddle from, verb
axed, chop or split with an ax, verb
foreordain, foreordain by divine will or decree, verb
differ, be different, verb
acquired, come into the possession of something concrete or abstract, verb
claver, talk socially without exchanging too much information, verb
purpurate, color purple, verb
unbridle, remove the bridle from (a horse or mule), verb
differentiate, mark as different, verb
cocked, tilt or slant to one side, verb
marinated, soak in marinade, verb
stratify, divide society into social classes or castes, verb
mothered, care for like a mother, verb
miscarry, be unsuccessful, verb
generalize, draw from specific cases for more general cases, verb
shut, move so that an opening or passage is obstructed; make shut, verb
disjoint, part; cease or break association with, verb
caped, lie at the top of, verb
sawing, cut with a saw, verb
purring, make a soft swishing sound, verb
preconditioned, put into the required condition beforehand, verb
displeasing, give displeasure to, verb
refine, improve or perfect by pruning or polishing, verb
detailed, provide details for, verb
paced, walk with slow or fast paces, verb
yapping, bark in a high-pitched tone, verb
colorize, add color to, verb
recondition, bring into an improved condition, verb
defend, argue or speak in defense of, verb
mothproof, protect from moths, verb
assented, to agree or express agreement, verb
hyphenated, divide or connect with a hyphen, verb
overtax, tax excessively, verb
generate, bring into existence, verb
fortify, make strong or stronger, verb
forged, create by hammering, verb
retelling, render verbally , verb
inhume, place in a grave or tomb, verb
stagnate, stand still, verb
elucidate, make clear and (more) comprehensible, verb
tithing, exact a tithe from, verb
desolate, leave someone who needs or counts on you; leave in the lurch, verb
stupefied, make dull or stupid or muddle with drunkenness or infatuation, verb
bestrode, get up on the back of, verb
bosomed, hide in one's bosom, verb
lived, inhabit or live in; be an inhabitant of, verb
absorbing, become imbued, verb
grieve, feel grief, verb
totalize, make into a total, verb
streaked, move quickly in a straight line, verb
turtling, overturn accidentally, verb
scooping, take out or up with or as if with a scoop, verb
acquaint, cause to come to know personally, verb
somnambulate, walk in one's sleep, verb
concertize, give concerts; perform in concerts, verb
emblazon, decorate with colors, verb
beatify, fill with sublime emotion, verb
dilute, lessen the strength or flavor of a solution or mixture, verb
educe, deduce (a principle) or construe (a meaning), verb
unscramble, make intelligible, verb
degauss, make nonmagnetic; take away the magnetic properties (of), verb
bemoaning, regret strongly, verb
tilting, to incline or bend from a vertical position, verb
recite, recite in elocution, verb
beguiling, influence by slyness, verb
scragging, strangle with an iron collar, verb
criticize, find fault with; express criticism of; point out real or perceived flaws, verb
overgrow, grow too large, verb
met, come together, verb
gasify, turn into gas, verb
belying, be in contradiction with, verb
outrun, run faster than, verb
perplex, be a mystery or bewildering to, verb
relinquish, part with a possession or right, verb
totting, determine the sum of, verb
suppress, to put down by force or authority, verb
excruciate, torment emotionally or mentally, verb
territorialize, organize as a territory, verb
tolerate, put up with something or somebody unpleasant, verb
deaden, make vague or obscure or make (an image) less visible, verb
sunken, fall or descend to a lower place or level, verb
bewilder, be a mystery or bewildering to, verb
comforting, give moral or emotional strength to, verb
plummeted, drop sharply, verb
mismarry, marry an unsuitable partner, verb
flamed, shine with a sudden light, verb
dilate, become wider, verb
minify, make smaller, verb
derive, reason by deduction; establish by deduction, verb
behooving, be appropriate or necessary, verb
rend, tear or be torn violently, verb
shamming, make a pretence of, verb
balanced, bring into balance or equilibrium, verb
manage, be successful; achieve a goal, verb
delimit, determine the essential quality of, verb
perplexed, be a mystery or bewildering to, verb
transferring, transfer somebody to a different position or location of work, verb
restrict, place restrictions on, verb
trapped, place in a confining or embarrassing position, verb
exult, feel extreme happiness or elation, verb
mosey, walk leisurely, verb
attemper, modify the temperature of, verb
outlast, live longer than, verb
uprose, come into existence; take on form or shape, verb
misperceive, perceive incorrectly, verb
tapered, diminish gradually, verb
bellied, swell out or bulge out, verb
upheave, lift forcefully from beneath, verb
unitize, divide (bulk material) and process as units, verb
berthing, provide with a berth, verb
specking, produce specks in or on, verb
disinter, dig up for reburial or for medical investigation; of dead bodies, verb
gimping, walk impeded by some physical limitation or injury, verb
tortured, torment emotionally or mentally, verb
